opening,eco,tempo,avgEloClass,ratingDiffClass,averageScore,score,count,drawCount,whiteWinCount,blackWinCount
"King's Gambit, Falkbeer Countergambit, Charousek Gambit",C31,Bullet,1800-1899,White+200,0.5,0.5,1,1,0,0
"King's Gambit: Panteldakis Countergambit, Schiller's Defense",C30,Bullet,1400-1599,White+200,1,1,1,0,1,0
King's Pawn Game: Maroczy Defense,B07,Bullet,1800-1899,Black+400,0,0,1,0,0,1
Ruy Lopez: Spanish Countergambit,C60,Classical,1200-1399,Black+400,0,0,1,0,0,1
Scotch Game: Goering Gambit,C44,Bullet,1400-1599,Black+200,1,1,1,0,1,0
Center Game: Berger Variation,C22,Classical,1200-1399,Black+400,0,0,1,0,0,1
"Alekhine Defense: Modern Variation, Larsen Variation",B04,Blitz,1400-1599,Black+200,0,0,1,0,0,1
Torre Attack: Wagner Gambit,A46,Blitz,1400-1599,White+200,1,1,1,0,1,0
Queen's Gambit Refused: Chigorin Defense,D07,Bullet,1600-1799,White+500+,1,1,1,0,1,0
Alekhine Defense: Brooklyn Variation,B02,Bullet,1800-1899,White+200,0,0,1,0,0,1
Indian Game: Maddigan Gambit,A45,Blitz,1800-1899,White=Black,1,1,1,0,1,0
Blackmar-Diemer Gambit: Zeller Defense,D00,Bullet,1200-1399,White=Black,0,0,1,0,0,1
Italian Game,C50,Classical,?,?,1,1,1,0,1,0
"French Defense: Advance Variation, Euwe Variation",C02,Bullet,1600-1799,Black+400,0,0,1,0,0,1
Four Knights Game: Ranken Variation,C48,Bullet,1200-1399,Black+200,0,0,1,0,0,1
Pirc Defense #4,B07,Classical,1800-1899,Black+400,0,0,1,0,0,1
Alekhine Defense: Two Pawn Attack,B02,Classical,1800-1899,White=Black,1,1,1,0,1,0
Hungarian Opening: Slav Formation,A00,Classical,1800-1899,Black+200,0,0,1,0,0,1
Italian Game: Giuoco Pianissimo,C50,Bullet,2000-2199,White=Black,0,0,1,0,0,1
Ruy Lopez: Exchange Variation,C68,Bullet,1600-1799,White+200,0,0,1,0,0,1
Queen's Gambit Accepted: Slav Gambit,D21,Classical,1400-1599,Black+400,1,1,1,0,1,0
Zukertort Opening: Dutch Variation,A04,Classical,1400-1599,White+200,1,1,1,0,1,0
Sicilian Defense: Canal-Sokolsky Attack,B51,Classical,1800-1899,White=Black,1,1,1,0,1,0
"Scotch Game: Classical Variation, Blackburne Attack",C45,Blitz,1400-1599,Black+200,1,1,1,0,1,0
Scandinavian Defense: Main Line,B01,Bullet,2000-2199,White+200,1,1,1,0,1,0
Rat Defense: Harmonist,B07,Classical,1800-1899,Black+200,0,0,1,0,0,1
"King's Gambit, Falkbeer Countergambit, Pickler Gambit",C31,Classical,1600-1799,White+400,1,1,1,0,1,0
"Ruy Lopez: Morphy Defense, Caro Variation",C70,Blitz,1800-1899,White=Black,0,0,1,0,0,1
"Queen's Pawn Opening: Veresov, Richter Attack",D00,Bullet,1600-1799,Black+200,0,0,1,0,0,1
"Sicilian Defense: Closed Variation, Traditional",B25,Classical,1400-1599,Black+500+,0,0,1,0,0,1
Center Game #2,C21,Classical,0-1199,Black+200,1,1,1,0,1,0
Nimzo-Larsen Attack: Symmetrical Variation,A01,Blitz,1400-1599,Black+400,0,0,1,0,0,1
"French Defense: Advance Variation, Milner-Barry Gambit",C02,Bullet,1600-1799,Black+400,0,0,1,0,0,1
French Defense: Rubinstein Variation,C10,Classical,1600-1799,White+400,1,1,1,0,1,0
"Scotch Game: Goering Gambit, Double Pawn Sacrifice",C44,Bullet,1400-1599,White=Black,1,1,1,0,1,0
Barnes Defense,B00,Bullet,1400-1599,White+200,1,1,1,0,1,0
Center Game: Normal Variation,C22,Classical,1600-1799,White+400,1,1,1,0,1,0
Bogo-Indian Defense: Exchange Variation,E11,Blitz,1600-1799,White+200,1,1,1,0,1,0
